Dataset ID	CancerType	Platform	PatientNumber	CellNumber
ALL_GSE132509	ALL	10x Genomics	11	37936
AML_GSE147989	AML	10x Genomics	2	7389
BRCA_GSE143423	BRCA	10x Genomics	2	4375
CHOL_GSE125449_aPD1aPDL1aCTLA4	CHOL	10x Genomics	10	5761
CLL_GSE111014	CLL	10x Genomics	4	30106
CRC_GSE146771_10X	COAD	10x Genomics	10	43817
CRC_GSE136394	COADREAD	10x Genomics	5	67171
CTCL_GSE128531	CTCL	10x Genomics	9	30497
GBM_GSE131928_10X	GBM	10x Genomics	9	13553
GBM_GSE138794	GBM	10x Genomics	9	18458
GBM_GSE139448	GBM	10x Genomics	3	12152
GBM_GSE141982	GBM	10x Genomics	2	5263
LIHC_GSE125449_aPDL1aCTLA4	LIHC	10x Genomics	9	3834
MCC_GSE117988_aPD1aCTLA4	MCC	10x Genomics	1	10134
MCC_GSE118056_aPDL1	MCC	10x Genomics	1	11024
BLCA_GSE130001	MIBC	10x Genomics	2	4129
MM_GSE141299	MM	10x Genomics	7	16840
NSCLC_GSE127471	NSCLC	10x Genomics	1	1108
NSCLC_GSE131907	NSCLC	10x Genomics	44	203298
NSCLC_GSE143423	NSCLC	10x Genomics	3	12193
OV_GSE115007	OV	10x Genomics	1	6000
SKCM_GSE148190	SKCM	10x Genomics	3	27834
STAD_GSE134520	STAD	10x Genomics	13	41554
BLCA_GSE145281_aPDL1	BLCA	10x Genomics	10	14462
Glioma_GSE131928_10X	GBM	10x Genomics	9	13553
KIRC_GSE145281_aPDL1	KIRC	10x Genomics	4	44220
PBMC_8K_10X	Healthy	10x Genomics	1	8488
PBMC_30K_10X		10x Genomics	1	29079
PBMC_60K_10X		10x Genomics	1	63628
